timestamp;deutschland;nrw
2018-02-11 20:40:21;51,8;4
2018-02-11 21:00:12;48,8;5
2018-02-11 21:10:40;46,8;4
2018-02-11 21:13:12;46,8;4
2018-02-11 22:00:14;47,8;1
2018-02-11 23:00:15;47,8;1
2018-02-12 00:00:12;46,8;2
2018-02-12 01:00:12;46,8;2
2018-02-12 02:00:12;46,8;-
2018-02-12 03:00:12;46,8;1
2018-02-12 04:00:18;46,8;-
2018-02-12 05:00:11;46,8;-
2018-02-12 06:00:19;49,8;2
2018-02-12 07:00:12;64,8;13
2018-02-12 08:00:12;97,8;32
2018-02-12 09:00:13;121,8;44
2018-02-12 10:00:12;102,8;51
2018-02-12 11:00:12;93,8;49
2018-02-12 12:00:13;86,8;25
2018-02-12 13:00:12;85,8;19
2018-02-12 14:00:13;72,8;25
2018-02-12 15:00:13;88,8;42
2018-02-12 16:00:11;99,8;29
2018-02-12 17:00:11;113,8;31
2018-02-12 18:00:12;120,8;17
2018-02-12 19:00:19;79,8;9
2018-02-12 20:00:12;77,8;3
2018-02-12 21:00:12;67,8;-
2018-02-12 22:00:17;56,8;-
2018-02-12 23:00:12;56,8;-
2018-02-13 00:00:11;56,8;2
2018-02-13 01:00:10;54,8;2
2018-02-13 02:00:10;54,8;2
2018-02-13 03:00:11;44,8;3
2018-02-13 04:00:12;48,8;2
2018-02-13 05:00:11;48,8;3
2018-02-13 06:00:11;48,8;8
2018-02-13 07:00:14;74,8;40
2018-02-13 08:00:11;146,8;91
2018-02-13 09:00:12;141,8;78
2018-02-13 10:00:11;83,8;37
2018-02-13 11:00:13;79,8;25
2018-02-13 12:00:11;91,8;28
2018-02-13 13:00:11;101,8;25
2018-02-13 14:00:13;86,8;35
2018-02-13 15:00:15;112,8;47
2018-02-13 16:00:12;125,8;56
2018-02-13 17:00:11;191,8;82
2018-02-13 18:00:12;166,8;67
2018-02-13 19:00:19;106,8;8
2018-02-13 20:00:11;74,8;2
2018-02-13 21:00:12;52,8;2
2018-02-13 22:00:12;44,8;4
2018-02-13 23:00:14;50,8;-
2018-02-14 00:00:12;50,8;-
2018-02-14 01:00:11;44,8;-
2018-02-14 02:00:12;47,2;-
2018-02-14 03:00:13;47,2;-
2018-02-14 04:00:12;48,2;-
2018-02-14 05:00:12;48,2;-
2018-02-14 06:00:11;44,8;-
2018-02-14 07:00:12;75,3;53
2018-02-14 08:00:12;159,3;133
2018-02-14 09:00:12;167,3;124
2018-02-14 10:00:11;117,8;44
2018-02-14 11:00:12;106,8;35
2018-02-14 12:00:14;108,8;32
2018-02-14 13:01:18;138,8;22
2018-02-14 14:00:12;118,8;30
2018-02-14 15:00:12;157,8;38
2018-02-14 16:00:12;195,8;106
2018-02-14 17:00:13;239,8;210
2018-02-14 18:00:12;247,8;242
2018-02-14 19:00:12;134,8;42
2018-02-14 20:00:12;80,8;11
2018-02-14 21:00:12;51,5;1
2018-02-14 22:00:12;47,5;4
2018-02-14 23:00:12;47,5;3
2018-02-15 00:00:12;47,5;3
2018-02-15 01:00:14;46,5;3
2018-02-15 02:00:13;44,8;1
2018-02-15 03:00:12;44,8;1
2018-02-15 04:00:12;44,8;1
2018-02-15 05:00:12;44,8;-
2018-02-15 06:00:12;44,8;16
2018-02-15 07:00:12;110,8;168
2018-02-15 08:00:12;234,8;323
2018-02-15 09:00:12;200,8;327
